Timestamp,DeviceID,MaximumWindSpeed(kmh),WindSpeed(kmh),Precipitation(mm),Pressure(hPa),Temperature(C),Humidity(%),Wind Direction,Soil Mosture(%)
1733951319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.54 ,64.04 ,W ,100
1733951919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.49 ,64.03 ,W ,100
1733952519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.27 ,64.16 ,W ,100
1733953119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.06 ,64.02 ,W ,100
1733953719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,5.66 ,64.00 ,W ,100
1733954319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,5.10 ,65.00 ,W ,100
1733954919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.76 ,65.32 ,W ,100
1733955519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.56 ,65.45 ,W ,100
1733956119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.48 ,65.56 ,W ,100
1733956719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.35 ,65.61 ,W ,100
1733957319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.18 ,65.81 ,W ,100
1733957919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.08 ,66.26 ,W ,100
1733958519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.02 ,66.55 ,W ,100
1733959119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.01 ,66.87 ,W ,100
1733959719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.90 ,67.39 ,W ,100
1733960319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.98 ,67.41 ,W ,100
1733960919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.00 ,67.51 ,W ,100
1733961519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.90 ,68.04 ,W ,100
